,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,B19001_001E,state,county,tract,nodes,edges,nodes_lts1,edges_lts1,nodes_lts2,edges_lts2,edges_lts1_pct,nodes_lts1_pct,edges_lts2_pct,nodes_lts2_pct,lts1_beta,lts2_beta,edges_lts1_density,nodes_lts1_density,edges_lts2_density,nodes_lts2_density,avg_component_edges_lts1,avg_component_edges_lts2,avg_component_length_lts1,avg_component_length_lts2
129,06,059,062627,1400000US06059062627,06059062627,626.27,CT,956840,36787,"MULTIPOLYGON (((-117.838769 33.657596999999996, -117.827764 33.657345, -117.827606 33.655431, -117.826723 33.653718999999995, -117.824529 33.650075, -117.824735 33.649954, -117.83009 33.64882, -117.83537 33.647749999999995, -117.83538 33.650098, -117.835084 33.651274, -117.836865 33.651959999999995, -117.83855199999999 33.65348, -117.839 33.65415, -117.838769 33.657596999999996)))",1414.0,6,59,62627,2727,5796,1519,3246,2013,4252,0.5600414078674948,0.557022368903557,0.7336093857832988,0.7381738173817382,0.46796056685150955,0.47342427093132644,0.0033924167049872497,0.0015875172442623637,0.004443794155762719,0.0021038000083608544,7248.346280447663,113579.29061102832,98140.17883146807,1626298.7379577744
689,06,059,052506,1400000US06059052506,06059052506,525.06,CT,940311,0,"MULTIPOLYGON (((-117.785395 33.689085999999996, -117.782662 33.691835, -117.776887 33.687825, -117.77313 33.685193, -117.777298 33.680987, -117.778747 33.679525, -117.782716 33.682291, -117.783365 33.682744, -117.788286 33.686181999999995, -117.785395 33.689085999999996)))",834.0,6,59,52506,1133,2383,483,1084,661,1440,0.45488879563575324,0.4263018534863195,0.6042803189257239,0.5834068843777581,0.4455719557195572,0.45902777777777776,0.001152810080920036,0.0005136598423287614,0.0015314082255764316,0.0007029589146569593,23217.343685300206,126807.39939485627,308868.93268530024,1815737.2168532526
1201,06,059,062612,1400000US06059062612,06059062612,626.12,CT,2508156,0,"MULTIPOLYGON (((-117.827485 33.663648, -117.826441 33.665787, -117.822903 33.669374999999995, -117.81596 33.667071, -117.811806 33.665786, -117.807378 33.665029, -117.79499799999999 33.663278999999996, -117.798672 33.659861, -117.801442 33.658578999999996, -117.8028 33.658299, -117.807429 33.658384, -117.812291 33.657455999999996, -117.81406799999999 33.658043, -117.815884 33.65862, -117.817972 33.658384999999996, -117.821358 33.657261, -117.827764 33.657345, -117.827485 33.663648)))",2914.0,6,59,62612,7545,15580,2405,5134,4322,8646,0.3295250320924262,0.31875414181577205,0.5549422336328627,0.5728296885354539,0.4684456564082587,0.4998843395789961,0.0020469221212715636,0.0009588717767156429,0.0034471540047748225,0.0017231783031039537,3349.0095634095633,66849.5937066173,44659.74645779626,956620.1992230448
1271,06,059,052505,1400000US06059052505,06059052505,525.05,CT,1190677,0,"MULTIPOLYGON (((-117.780925 33.695265, -117.77823000000001 33.698198999999995, -117.77743699999999 33.698995, -117.776798 33.699611, -117.775143 33.700604, -117.77131800000001 33.694708999999996, -117.76827 33.690115, -117.77313 33.685193, -117.776887 33.687825, -117.782662 33.691835, -117.780925 33.695265)))",1915.0,6,59,52505,987,1883,168,352,500,1074,0.18693574083908657,0.1702127659574468,0.5703664365374402,0.5065856129685917,0.4772727272727273,0.4655493482309125,0.00029563013310914715,0.00014109619989300206,0.0009020078493159774,0.0004199291663482204,68.33333333333333,1039.928,506.15553571428575,19705.096932
1272,06,059,052417,1400000US06059052417,06059052417,524.17,CT,2110861,0,"MULTIPOLYGON (((-117.771884 33.706234, -117.771029 33.707268, -117.768641 33.709573, -117.767892 33.70998, -117.764398 33.711138999999996, -117.76273499999999 33.712621999999996, -117.76094499999999 33.714417, -117.757593 33.712075999999996, -117.750959 33.707505999999995, -117.753629 33.704749, -117.756399 33.701972999999995, -117.762039 33.696459, -117.772447 33.703604, -117.771884 33.706234)))",2864.0,6,59,52417,1805,3552,594,1196,1188,2547,0.3367117117117117,0.3290858725761773,0.7170608108108109,0.6581717451523545,0.49665551839464883,0.4664310954063604,0.0005665934422020209,0.0002814017597558532,0.0012066166365288856,0.0005628035195117064,3975.86531986532,35885.112794612796,52319.38122558923,521614.4386927609
1432,06,059,052410,1400000US06059052410,06059052410,524.10,CT,5165122,73214,"MULTIPOLYGON (((-117.740762 33.655813, -117.738565 33.655073, -117.736639 33.653394999999996, -117.734186 33.649705, -117.732434 33.648156, -117.730034 33.647456999999996, -117.725407 33.647937, -117.721839 33.649478, -117.71244899999999 33.642901, -117.70676 33.6388, -117.69971 33.63218, -117.70062300000001 33.631851, -117.70490000000001 33.628589999999996, -117.709 33.626000000000005, -117.71373 33.62318, -117.71473499999999 33.622358999999996, -117.7202 33.62828, -117.720287 33.628378, -117.721001 33.629177999999996, -117.725455 33.633196, -117.734845 33.644639999999995, -117.74374 33.655755, -117.740762 33.655813)))",2253.0,6,59,52410,2365,4941,5,8,250,786,0.0016191054442420564,0.0021141649048625794,0.15907710989678203,0.10570824524312897,0.625,0.31806615776081426,1.5488501530070344e-06,9.680313456293965e-07,0.00015217452753294114,4.8401567281469825e-05,1.2,154.536,5.7219999999999995,4257.704144
1533,06,059,052517,1400000US06059052517,06059052517,525.17,CT,5203366,0,"MULTIPOLYGON (((-117.79129499999999 33.666984, -117.791005 33.667276, -117.788486 33.66977, -117.78694899999999 33.671313999999995, -117.78474299999999 33.673519, -117.781552 33.676717, -117.778747 33.679525, -117.777298 33.680987, -117.77313 33.685193, -117.76827 33.690115, -117.763537 33.682971, -117.758141 33.677935, -117.759737 33.676563, -117.760179 33.676133, -117.76162 33.674237, -117.771053 33.664601999999995, -117.778042 33.657588, -117.783182 33.660526, -117.7857 33.661619, -117.788404 33.66233, -117.79499799999999 33.663278999999996, -117.79129499999999 33.666984)))",4284.0,6,59,52517,5018,10436,1586,3478,2476,5574,0.33326945189727863,0.3160621761658031,0.5341126868532005,0.49342367477082505,0.45600920069005174,0.444205238607822,0.000668413484655894,0.00030480269886838635,0.0010712296617228156,0.00047584582748935977,4776.689785624212,34595.579967689824,62601.62330264817,497104.1696663974
1668,06,059,052515,1400000US06059052515,06059052515,525.15,CT,1863721,0,"MULTIPOLYGON (((-117.823091 33.691544, -117.814392 33.697179, -117.815358 33.696284, -117.81255 33.693466, -117.809209 33.69471, -117.808858 33.694559999999996, -117.802528 33.700917, -117.802425 33.700798999999996, -117.801657 33.699579, -117.801253 33.697531999999995, -117.800495 33.69513, -117.79883699999999 33.693543, -117.803978 33.688379, -117.808261 33.68408, -117.811596 33.686218, -117.813771 33.686769, -117.816525 33.687326, -117.818506 33.688463, -117.823091 33.691544)))",3125.0,6,59,52515,2313,4605,737,1632,1365,2966,0.3543973941368078,0.3186338089061824,0.6440825190010858,0.5901426718547341,0.45159313725490197,0.4602157788267026,0.0008756675489518012,0.00039544545562345435,0.0015914399204601977,0.0007324057624504955,8154.0434192673,110691.59267399268,110487.80650610583,1585039.3129494507
1806,06,059,052523,1400000US06059052523,06059052523,525.23,CT,1190209,6981,"MULTIPOLYGON (((-117.83563 33.678297, -117.83535 33.679043, -117.831173 33.677639, -117.828135 33.677006999999996, -117.826151 33.677482999999995, -117.822729 33.678782, -117.82058599999999 33.678644999999996, -117.81958 33.678253999999995, -117.816292 33.676013999999995, -117.819011 33.673282, -117.82068699999999 33.671596, -117.822903 33.669374999999995, -117.82735199999999 33.670863, -117.831129 33.672128, -117.831878 33.672379, -117.83601999999999 33.673775, -117.83563 33.678297)))",1504.0,6,59,52523,1517,3124,303,666,675,1422,0.21318822023047376,0.1997363216875412,0.4551856594110115,0.44495715227422544,0.45495495495495497,0.47468354430379744,0.0005595655889007729,0.00025457713729269395,0.0011947481492746233,0.0005671272860480807,11533.742574257425,98603.8725925926,156869.93829042904,1412012.1276192593
2487,06,059,052528,1400000US06059052528,06059052528,525.28,CT,1038313,0,"MULTIPOLYGON (((-117.79625300000001 33.696135999999996, -117.79321 33.699188, -117.793033 33.699075, -117.789117 33.696335, -117.787758 33.695377, -117.782662 33.691835, -117.785395 33.689085999999996, -117.788286 33.686181999999995, -117.793417 33.689768, -117.793576 33.689879, -117.79883699999999 33.693543, -117.79625300000001 33.696135999999996)))",1273.0,6,59,52528,2361,4890,1164,2490,1560,3304,0.50920245398773,0.49301143583227447,0.6756646216768916,0.6607369758576874,0.4674698795180723,0.4721549636803874,0.002398120797871162,0.0011210492404506156,0.0031820847856089637,0.0015024371263771135,3990.5584192439865,14171.76923076923,48175.565097938146,199399.82026602564
